Barrido no. 1 , datos por completar: 491
Barrido no. 2 , datos por completar: 313
Barrido no. 3 , datos por completar: 204
Barrido no. 4 , datos por completar: 153
Barrido no. 5 , datos por completar: 112
Barrido no. 6 , datos por completar: 88
Barrido no. 7 , datos por completar: 73
Barrido no. 8 , datos por completar: 57
Barrido no. 9 , datos por completar: 48
Barrido no. 10 , datos por completar: 36
Barrido no. 11 , datos por completar: 28
Barrido no. 12 , datos por completar: 26
Barrido no. 13 , datos por completar: 15
Barrido no. 14 , datos por completar: 7
Barrido no. 15 , datos por completar: 2
Barrido no. 16 , datos por completar: 0
Barrido no. 17 , datos por completar: 0
Barrido no. 18 , datos por completar: 0
Barrido no. 19 , datos por completar: 0
Barrido no. 20 , datos por completar: 0
Barrido no. 21 , datos por completar: 0
Barrido no. 22 , datos por completar: 0
Barrido no. 23 , datos por completar: 0
Barrido no. 24 , datos por completar: 0
Barrido no. 25 , datos por completar: 0
Barrido no. 26 , datos por completar: 0
Barrido no. 27 , datos por completar: 0
Barrido no. 28 , datos por completar: 0
Barrido no. 29 , datos por completar: 0
Barrido no. 30 , datos por completar: 0
